,amounts,ask_close,ask_high,ask_low,ask_open,assets,bid_close,bid_high,bid_low,bid_open,currency,frozen_amounts,frozen_currency
2018-03-13 02:01:00,9000.0,107.159,107.159,107.149,107.149,1001903.182705,107.157,107.158,107.147,107.148,37492.59373750014,0.0,0.0
2018-03-13 02:02:00,9000.0,107.154,107.159,107.154,107.159,1001858.1828175001,107.152,107.158,107.152,107.157,37492.59373750014,0.0,0.0
2018-03-13 02:03:00,9000.0,107.162,107.164,107.152,107.154,1001930.1826375,107.16,107.163,107.15,107.152,37492.59373750014,0.0,0.0
2018-03-13 02:04:00,9000.0,107.176,107.177,107.162,107.162,1002056.1823225,107.174,107.174,107.16,107.16,37492.59373750014,0.0,0.0
2018-03-13 02:05:00,9000.0,107.176,107.181,107.173,107.176,1002056.1823225,107.174,107.179,107.171,107.174,37492.59373750014,0.0,0.0
2018-03-13 02:06:00,9000.0,107.169,107.179,107.167,107.176,1002002.1824575001,107.168,107.176,107.164,107.174,37492.59373750014,0.0,0.0
2018-03-13 02:07:00,9000.0,107.167,107.171,107.156,107.169,1001975.1825250001,107.165,107.169,107.154,107.168,37492.59373750014,0.0,0.0
2018-03-13 02:08:00,9000.0,107.174,107.179,107.165,107.167,1002047.1823450001,107.173,107.178,107.163,107.165,37492.59373750014,0.0,0.0
2018-03-13 02:09:00,9000.0,107.176,107.176,107.173,107.174,1002074.1822775,107.176,107.176,107.171,107.173,37492.59373750014,0.0,0.0
2018-03-13 02:10:00,9000.0,107.174,107.179,107.167,107.176,1002047.1823450001,107.173,107.179,107.166,107.176,37492.59373750014,0.0,0.0
2018-03-13 02:11:00,9000.0,107.172,107.175,107.17,107.174,1002029.1823900001,107.171,107.175,107.168,107.173,37492.59373750014,0.0,0.0
2018-03-13 02:12:00,9000.0,107.173,107.173,107.169,107.172,1002038.1823675,107.172,107.174,107.17,107.171,37492.59373750014,0.0,0.0
2018-03-13 02:13:00,9000.0,107.175,107.175,107.173,107.173,1002056.1823225,107.174,107.174,107.171,107.172,37492.59373750014,0.0,0.0
2018-03-13 02:14:00,9000.0,107.175,107.177,107.171,107.175,1002056.1823225,107.174,107.177,107.169,107.174,37492.59373750014,0.0,0.0
2018-03-13 02:15:00,9000.0,107.178,107.179,107.174,107.175,1002083.1822550001,107.177,107.178,107.172,107.174,37492.59373750014,0.0,0.0
2018-03-13 02:16:00,9000.0,107.172,107.179,107.169,107.178,1002029.1823900001,107.171,107.178,107.168,107.177,37492.59373750014,0.0,0.0
2018-03-13 02:17:00,9000.0,107.185,107.186,107.172,107.172,1002146.1820975,107.184,107.185,107.171,107.171,37492.59373750014,0.0,0.0
2018-03-13 02:18:00,9000.0,107.206,107.21,107.185,107.185,1002335.181625,107.205,107.209,107.184,107.184,37492.59373750014,0.0,0.0
2018-03-13 02:19:00,9000.0,107.193,107.207,107.186,107.206,1002209.18194,107.191,107.207,107.185,107.205,37492.59373750014,0.0,0.0
2018-03-13 02:20:00,9000.0,107.197,107.207,107.193,107.193,1002254.1818275,107.196,107.206,107.191,107.191,37492.59373750014,0.0,0.0
2018-03-13 02:21:00,9000.0,107.179,107.197,107.172,107.197,1002083.1822550001,107.177,107.196,107.171,107.196,37492.59373750014,0.0,0.0
2018-03-13 02:22:00,9000.0,107.18,107.189,107.176,107.179,1002101.18221,107.179,107.188,107.174,107.177,37492.59373750014,0.0,0.0
